account_id,first_name,last_name,password,balance_checking,balance_savings,status,overdraft_count
10001,suresh,sigera,juagw362,1000,10000,,
10002,james,taylor,idh36%@#FGd,10000,10000,,
10003,melvin,gordon,uYWE732g4ga1,2000,20000,,
10004,stacey,abrams,DEU8_qw3y72$,2000,20000,,
10005,jake,paul,d^dg23g)@,100000,100000,,
10006,a,a,1,129.0,,active,0
10007,q,q,2,91.0,-135.0,deactivated,2
10008,w,w,3,,225.0,active,0
10009,z,z,1,-53.0,123.0,active,1
10010,a,a,1,,21748.0,active,0
10011,a,1,1,1212.0,,active,0
10012,x,1,1,160.0,,active,0
